Value|Category|Answer|Question
100|UNITS OF MEASURE|calories|The energy content of food is measured in these well-watched units
200|UNITS OF MEASURE|decibels|These units that measure the intensity of sound increase logarithmically
300|UNITS OF MEASURE|degrees|The scale on the bottom of a sextant is in these units
400|UNITS OF MEASURE|house|1/12 of the starry night; the main may be in the 7th one
500|UNITS OF MEASURE|a liter|To convert pints into these metric units of liquid measure, multiply by .47
100|WORD ORIGINS|foolscap|This nickname for paper measuring 13 by 16 inches gets its name from an old watermark of a court jester's hat
200|WORD ORIGINS|Tam O' Shanter|This Scottish cap was named for the hero of a Robert Burns poem
300|WORD ORIGINS|London|Billingsgate, a term for foul language, comes from the name of an old fish market in this world capital
400|WORD ORIGINS|jackstraws|This game in which players pick up sticks or straws is named for a leader of Wat Tyler's Rebellion
500|WORD ORIGINS|colossal|The gigantic statue at Rhodes, one of the 7 ancient wonders, gave us this adjective meaning gigantic
100|STUPID ANSWERS|Variety|You can read a variety of articles all about all aspects of show business in this trade paper established in 1905
200|STUPID ANSWERS|striped hyena|The scientific name of this striped carnivore is Hyaena hyaena
300|STUPID ANSWERS|the Screen Actors Guild|In 2002 Melissa Gilbert was reelected president of this guild formed by actors of the silver screen
400|STUPID ANSWERS|flags|The flag of the Organization of American States has 35 different ones of these on it
500|STUPID ANSWERS|Walter Washington|The great-grandson of a slave, he was the first black mayor of Washington, D.C.
100|DOUBLE LETTERS|a bleep|It's in the dictionary as a short, high-pitched sound used to replace an expletive in a broadcast
200|DOUBLE LETTERS|a palette|An artist may have one of these boards with a thumbhole on which to mix his paints
300|DOUBLE LETTERS|the Inn|A public lodging house, or the river that forms part of the border between Germany & Austria
400|DOUBLE LETTERS|a ballast|It's any heavy material placed in the gondola of a balloon or the hold of a ship to enhance stability
500|DOUBLE LETTERS|kangaroo|The baby, or joey, of the red of grey type of this marsupial may spend up to 8 months in its mother's pouch
100|HALLS OF FAME|Georgia|This state's sports hall of fame includes Herschel Walker, Bobby Jones & Ty Cobb
200|HALLS OF FAME|pickles|Next time you're in St. Charles, Ill. check out the hall of fame for packers of these products like gherkins & dills
300|HALLS OF FAME|taxidermy|Connoisseurs of immortality will want to visit the Southern Pines, N.C. hall of fame for this art of stuffing animals
400|HALLS OF FAME|ice hockey|The first group of inductees into this sport's hall of fame included Georges Vezina
500|HALLS OF FAME|Chisholm|Blaze a trail to the Hall of Great Westerners & you'll find this Oklahoma trader for whom a trail is named
100|NFL RULES|a fair catch|(Hi, I'm Brian Mitchell)  A punt returner who waves his hand over his head isn't swatting for flies, he's signaling for this
200|NFL RULES|the quarterback|(I'm Dan Fouts, Hall of Famer)  As it should be, there's an automatic 15-yard penalty for roughing the kicker or this person
300|NFL RULES|pass interference|(Hi, I'm Keyshawn Johnson)  This infraction includes but is not limited to hooking the receiver, grabbing my arm, etcetera
400|NFL RULES|holding|(Hi, I'm Hall of Famer Dan Hampton)  Also a hockey penalty, it's called for using the hands illegally -- hey, it was the only way to stop me
500|NFL RULES|go in motion|(Hi, I'm Joey Galloway)  Only one player at a time may do this, run parallel to the line to confuse the defense
100|COUNTRIES BY CITY|Germany|Bremen, Kiel, Worms
200|COUNTRIES BY CITY|India|Chandigarh, Jaipur, Amritsar
300|COUNTRIES BY CITY|Brazil|Recife, Sao Goncalo, Itapipoca
400|COUNTRIES BY CITY|Australia|Toowoomba, Wagga Wagga, Adelaide
500|COUNTRIES BY CITY|South Africa|Jagersfontein, Krugersdorp, Ladysmith
100|PHYSICS|The speed of light|After trying to measure this with signals between himself & an assistant, Galileo decided it was infinite
200|PHYSICS|thermodynamics|The zeroth law of this says 2 bodies each in thermal equilibrium with a 3rd are in thermal equilibrium with each other
300|PHYSICS|air|It's compressed to run a pneumatic device like a jackhammer
400|PHYSICS|light|In the 1800s scientists proposed a luminiferous ether to explain how this can travel in waves
500|PHYSICS|the Doppler effect|The red shift of galaxies & the change in the pitch of a train whistle are examples of this man's effect
100|HOW I SPENT MY SUMMER VACATION|(Roger) Goodell|As commissioner of the NFL, I spent my summer dealing with a player lockout & negotiating a new contract
200|HOW I SPENT MY SUMMER VACATION|James Murdoch|I watched my father get pied as we both testified on phone hacking before Parliament
300|HOW I SPENT MY SUMMER VACATION|South Sudan|We the people of this African nation spent the summer becoming the newest country in the world & joining the U.N.
400|HOW I SPENT MY SUMMER VACATION|Eric Cantor|My Virginia constituents know that as House majority leader, I spent July hammering out a debt ceiling deal
500|HOW I SPENT MY SUMMER VACATION|Whitey Bulger|My 16-year holiday was rudely interrupted in Santa Monica when my past as a Boston crime boss came to haunt me
100|STATE UNIVERSITY ALUMNI|the University of Michigan|Clarence Darrow, Tom Brady, Gerald Ford
200|STATE UNIVERSITY ALUMNI|the University of Nebraska|Bob Kerrey, Johnny Carson, Warren Buffett
300|STATE UNIVERSITY ALUMNI|the University of North Carolina|Michael Jordan, Andy Griffith, John Edwards
400|STATE UNIVERSITY ALUMNI|the University of Minnesota|Hubert Humphrey, Loni Anderson, Walter Mondale
500|STATE UNIVERSITY ALUMNI|the University of Kansas|William Inge, Wilt Chamberlain, Bob Dole
100|HISTORICAL HOME SHOPPING|the Declaration of Independence|That's right!  We have an authentic fake reproduction of this 1776 document signed by John Penn & Josiah Bartlett!
200|HISTORICAL HOME SHOPPING|(Robert E.) Lee|In 1852 he was superintendent of West Point!  He led the Confederate Army!  Now you can buy this historic figure's figurine!
300|HISTORICAL HOME SHOPPING|Waterloo|France had 25,000 casualties at this June 1815 battle--don't meet yours by not buying its commemorative coin!
400|HISTORICAL HOME SHOPPING|Emperor Hirohito|This world leader may have said he wasn't divine on Jan. 1, 1946, but the prices of his commemorative plates sure are!
500|HISTORICAL HOME SHOPPING|Stonehenge|Now up, a 4-ton bluestone dating from 2100 B.C. from this English structure!  FYI, you pay your own shipping!
100|COMMON BONDS|Things you blow|Bubbles, A Whistle, A test you didn't study for
200|COMMON BONDS|gloves|Surgical, boxing, fingerless
300|COMMON BONDS|frozen things|Illicit assets, popsicles, botoxed faces
400|COMMON BONDS|things that sharpen|Strop, whetstone, emery wheel
500|COMMON BONDS|things that are served|A subpoena, a tennis ball, dinner
100|HISTORY|the Mongols|Ivan the Great made the great decision to gain independence from this group known as the Golden Horde
200|HISTORY|Lord Baltimore|In 1632 this lord founded the colony of Maryland
300|HISTORY|Richard the Lionhearted|He succeeded Henry II as king of England in 1189 & was himself succeeded by John in 1199
400|HISTORY|Hawaii|It became a U.S. territory in 1900 & was attacked 18 years before becoming a state
500|HISTORY|Ho Chi Minh|From 1954 to 1969 he was president of North Vietnam
100|AROUND THE WORLD|Jamaica|Hey mon!  Blue Mountain Peak is the highest point in this island country
200|AROUND THE WORLD|Monte Carlo|Paris Opera House architect Charles Garnier also designed the world-famous casino in this town
300|AROUND THE WORLD|the Snowy Mountains|Thredbo & Perisher Blue are popular ski resorts in these aptly named Australian mountains
400|AROUND THE WORLD|sari|Women of India often drape the end of this wrapped garment over their heads
500|AROUND THE WORLD|Arabic|Almost all Bedouins in the Middle East speak this language
100|POTPOURRI|a pedometer|Instrument for measuring walked distances that works by responding to body motion
200|POTPOURRI|the reindeer|Of the female elk, moose or reindeer, the one which has antlers
300|POTPOURRI|Israel|One of this country's shekels can be broken down into 100 agorot
400|POTPOURRI|bingo|In the basic form of this game, each player gets a card with 5 horizontal rows of numbers from 1 to 75
500|POTPOURRI|silk|Peau de soie, a textile with good drapability & body, is woven from this fiber
100|SCIENCE|melting|Fusion, the change of a solid to a liquid state, is more commonly called this
200|SCIENCE|caffeine|Among alkaloids found in plants, this stimulant is found in coffee or tea
300|SCIENCE|intelligence quotient|You may not need a high IQ to know IQ stands for this
400|SCIENCE|metamorphosis|Name for the process a caterpillar goes through to become a moth
500|SCIENCE|streptococci|When cocci live in pairs, they're called diplococci; in clusters, staphylococci; in chains, this
100|HORSE SENSE|Revolutionary War|Count Casimir Pulaski led his own cavalry unit in this war
200|HORSE SENSE|a paint (or pinto)|Overo & Tobiano are 2 major color patterns of this breed that's not available from Sherwin-Williams
300|HORSE SENSE|chestnut|Among trees, the Aesculus hippocastanum is the common horse this
400|HORSE SENSE|Citation|We'll issue you one if you can name this horse who in 1951 became the first million-dollar earner
500|HORSE SENSE|Gray|Genetically, it's the most dominant coat color, so it's what the old mare had the best chance to be
100|WORLD CITIES|Vienna|Many composers including Haydn, Mozart, Brahms, Beethoven, & Strauss, made this capital their home
200|WORLD CITIES|Paris|Oscar Wilde, Chopin, & Sarah Bernhardt are buried in this city known for its beautiful cemeteries
300|WORLD CITIES|Budapest|Linked by bridges, this Hungarian capital was once 3 distinct & separate cities
400|WORLD CITIES|Alexandria|This Egyptian port city is named for the Macedonian king who founded it in 332 B.C.
500|WORLD CITIES|Medina|This second-holiest city of Islam houses the tomb of Muhammad
100|1979|Tiananmen Square|1,000 Chinese protested the privileges of high officials in this square, more famous 10 years later
200|1979|Dieting|Herman Tarnower & Nathan Pritikin rode the bestseller lists with books on doing this
300|1979|Skylab|Noted falls in 1979 included the Shah of Iran's after 37 years & this space station's after 34,980 orbits
400|1979|Afghanistan|In February Adolph Dubs, U.S. ambassador to this country was killed, in December, the Soviets invaded
500|1979|Sid Vicious|No longer a Sex Pistol, he was facing murder charges when he died in February
100|ATHLETES|Troy Aikman|In 1989, his first year as Dallas' QB, the team went 1-15; they later improved
200|ATHLETES|Wayne Gretzky|At age 11 in 1972, he scored 378 goals for the Brantford (Ontario) Nadrofsky Steelers
300|ATHLETES|Ted Williams|The last Major League Baseball player to hit .400 in a season, he was John Glenn's wingman in the Korean War
400|ATHLETES|Algeria|World champion runner Hassiba Boulmerka of this north African country has been denounced for showing her legs
500|ATHLETES|Buster Crabbe & Johnny Weissmuller|The 2 Olympic swimming champions who played Tarzan on film in the 1930s
100|THE 21st CENTURY|John F. Kennedy|In May 2001 Gerald Ford stopped into this president's library to pick up its Profiles in Courage Award
200|THE 21st CENTURY|FBI|Pres. Bush chose Bob Mueller to replace Louis Freeh, who had resigned as head of this agency
300|THE 21st CENTURY|Pablo Picasso|The Galerie Nationale du Jeu de Paume exhibited erotic works this artist did between ages 13 & 92
400|THE 21st CENTURY|China|In July 2001 a cargo plane brought the salvaged parts of a U.S. spy plane back to the U.S. from this country
500|THE 21st CENTURY|Russia|In 2005 Mikhail Khodorkovsky, once this country's richest man, got 9 years in jail for fraud & tax evasion
100|CRIME RHYME TIME|Melanie's felonies|Hard to believe! Mrs. Ashley Wilkes' seriously unlawful activities
200|CRIME RHYME TIME|deft theft|A nimble robbery
300|CRIME RHYME TIME|Parson's arsons|Anglican cleric's incendiary crimes
400|CRIME RHYME TIME|frail bail|Weak, fragile payment insuring that a released defendant will return to court
500|CRIME RHYME TIME|groovy juvie|A hip young delinquent
100|CAR TALK|Idle|Your Porsche 914 should do it at about 900 RPM; your mechanic shouldn't do it at all
200|CAR TALK|Differential|A calculus major could tell you it's the part that uses gears to transfer power to the rear wheels
300|CAR TALK|anti-freeze|Since 1927 Prestone has been making this for temperature-challenged engine parts
400|CAR TALK|a catalytic converter|This converter reduces the level of harmful pollutants in a car's exhaust
500|CAR TALK|a shock absorber|If you have a bouncy ride, you might need to replace this 2-word suspension part created in the early 1900s
100|5-LETTER WORDS|India|This populous country is Hindio or Barato in Esperanto
200|5-LETTER WORDS|Graze|To touch lightly in passing, or to feed on growing grasses
300|5-LETTER WORDS|Eland|This large African antelope's name comes from the Dutch word for an elk
400|5-LETTER WORDS|Canon|The books of the Bible accepted as holy scripture, or the works of an author considered authentic
500|5-LETTER WORDS|dowry|Historically it was the goods, money or property that a bride brought to her husband at marriage
100|STATES' MOST POPULOUS CITIES|Mississippi|Jackson, pop. 180,000
200|STATES' MOST POPULOUS CITIES|Kentucky|Louisville, pop. 556,000
300|STATES' MOST POPULOUS CITIES|Connecticut|Bridgeport, pop. 140,000
